PSD_PLOT
1, 1, 0, 2
Data set  1, 34 
Ball mill 7 discharge PSD
 0.171 ,  100 
 0.121 ,  100 
 0.0853 ,  100 
 0.0604 ,  100 
 0.0427 ,  100 
 0.0302 ,  100 
 0.0213 ,  99.909 
 0.0151 ,  99.044 
 0.0107 ,  97.891 
 0.00754 ,  96.665 
 0.00533 ,  95.445 
 0.00377 ,  94.238 
 0.00267 ,  93.005 
 0.00189 ,  91.678 
 0.00133 ,  90.158 
 0.000942 ,  88.285 
 0.000667 ,  85.78 
 0.000471 ,  82.166 
 0.000334 ,  76.883 
 0.000236 ,  69.907 
 0.000167 ,  62.15 
 0.000118 ,  54.355 
 0.0000833 ,  46.789 
 0.0000589 ,  39.598 
 0.0000417 ,  32.905 
 0.0000295 ,  26.864 
 0.0000208 ,  21.603 
 0.0000147 ,  17.168 
 0.0000104 ,  13.534 
 7.37E-06 ,  10.612 
 5.21E-06 ,  8.293 
 3.68E-06 ,  6.468 
 0.0000026 ,  5.037 
 1.84E-06 ,  3.921 
