PSD_PLOT
 2 
 1  2 
 3
 2
Data set  0001 0020 Ball miil charge              
1.6610E-3     9.9000E-1
1.1740E-3     9.3530E-1
8.3040E-4     8.0370E-1
5.8720E-4     6.2020E-1
4.1520E-4     4.3760E-1
2.9360E-4     2.8980E-1
2.0760E-4     1.8410E-1
1.4680E-4     1.1400E-1
1.0380E-4     6.9400E-2
7.3400E-5     4.1900E-2
5.1900E-5     2.5100E-2
3.6700E-5     1.5000E-2
2.5950E-5     9.0000E-3
1.8350E-5     5.3000E-3
1.2970E-5     3.2000E-3
9.1740E-6     1.9000E-3
6.4870E-6     1.1000E-3
4.5870E-6     7.0000E-4
3.2440E-6     4.0000E-4
0.0000E+0     0.0000E+0
Data set  0002 0020 Product after 2 minutes       
7.1476E-4     9.5382E-1
5.0541E-4     8.6031E-1
3.5738E-4     7.2713E-1
2.5271E-4     5.7975E-1
1.7869E-4     4.4224E-1
1.2635E-4     3.2745E-1
8.9345E-5     2.3808E-1
6.3177E-5     1.7132E-1
4.4673E-5     1.2262E-1
3.1588E-5     8.7573E-2
2.2336E-5     6.2463E-2
1.5794E-5     4.4561E-2
1.1168E-5     3.1822E-2
7.8971E-6     2.2708E-2
5.5841E-6     1.6244E-2
3.9485E-6     1.1631E-2
2.7920E-6     8.3119E-3
1.9743E-6     5.9474E-3
1.3960E-6     4.2600E-3
0.0000E+0     5.3365E-7
